name,salary,area_name,published_at
Администратор баз данных,,Казань,2022-12-28T22:50:19+0300
Руководитель отдела/направления ИБ,,Москва,2022-12-29T00:05:53+0300
Flutter Middle Мобильный разработчик,,Алматы,2022-12-29T08:28:01+0300
Консультант 1C (аналитик),150000.0,Москва,2022-12-28T22:44:32+0300
Senior Java Developer (удаленная работа только в РФ),,Новосибирск,2022-12-29T08:05:53+0300
Главный инженер проектов (отдел сетей передачи данных),,Москва,2022-12-28T23:03:42+0300
Team lead of Analytics & Projects stream,,Алматы,2022-12-29T01:21:40+0300
Ведущий инженер отдела подготовки проектов,77500.0,Хабаровск,2022-12-29T07:08:42+0300
Аналитик данных/Middle Data scientist (Computer Vision),,Москва,2022-12-29T02:12:36+0300
Аналитик данных/Middle Data scientist (Computer Vision),,Санкт-Петербург,2022-12-29T02:12:36+0300
"Технический директор / руководитель проектов (электроника, Altium, STM32)",250000.0,Казань,2022-12-28T23:01:37+0300
DevOps Engineer,,Черногория,2022-12-28T23:02:38+0300
Аналитик данных/Middle Data scientist (Computer Vision),,Череповец,2022-12-29T02:12:36+0300
Senior/Lead Scala Developer,,Алматы,2022-12-29T01:48:35+0300
Strong Middle React Engineer,,Алматы,2022-12-29T01:38:13+0300
Senior/Lead Python Developer,,Алматы,2022-12-29T01:45:24+0300
Автотестировщик (Java),,Москва,2022-12-28T23:31:22+0300
Дизайнер-иллюстратор,,Москва,2022-12-28T22:51:31+0300
IOS-разработчик (команда развития Суперприложения),,Санкт-Петербург,2022-12-28T23:45:26+0300
Стажер в отдел IT,,Тюмень,2022-12-29T16:02:34+0300
IT-инженер,100000.0,Санкт-Петербург,2022-12-29T15:38:30+0300
IT директор,100000.0,Магнитогорск,2022-12-29T11:55:03+0300
IT-специалист/помощник системного администратора,72500.0,Москва,2022-12-29T16:37:51+0300
IT-специалист,,Актобе,2022-12-29T16:20:55+0300
Специалист IT отдела,55000.0,Брянск,2022-12-29T12:10:21+0300
Вечерний сотрудник в отдел технической поддержки,,Тбилиси,2022-12-29T11:51:43+0300
IT Специалист,,Ялуторовск,2022-12-29T11:16:06+0300
Помощник системного администратора,40000.0,Санкт-Петербург,2022-12-29T09:02:13+0300
Менеджер по информационным технологиям,,Астана,2022-12-29T13:06:54+0300
Специалист технической поддержки,110000.0,Москва,2022-12-29T13:23:19+0300
Системный администратор,125000.0,Санкт-Петербург,2022-12-29T17:02:37+0300
Technical Support Specialist,,США,2022-12-29T12:47:09+0300
Junior в IT в отдел мониторинга,,Москва,2022-12-29T16:12:17+0300
Tech support / инженер технической поддержки,80000.0,Тюмень,2022-12-29T13:04:21+0300
Администратор IT проектов,,Санкт-Петербург,2022-12-29T17:34:19+0300
Специалист по IT,70000.0,Воронеж,2022-12-29T17:59:15+0300
Project manager IT,135000.0,Сербия,2022-12-29T17:20:15+0300
IT-специалист,80000.0,Санкт-Петербург,2022-12-29T16:48:39+0300
IT Project Manager / Менеджер по развитию бизнеса ПО,,Ташкент,2022-12-29T11:59:16+0300
Специалист IT отдела,,Астана,2022-12-29T11:53:33+0300
IT coordinator,90000.0,Москва,2022-12-29T11:49:45+0300
IT-менеджер,77500.0,Екатеринбург,2022-12-29T11:00:55+0300
Проект-менеджер в IT,90000.0,Тюмень,2022-12-29T12:43:45+0300
Менеджер по проектам в IT компанию,,Москва,2022-12-29T14:08:31+0300
Специалист технической поддержки,80000.0,Москва,2022-12-29T09:50:33+0300
Сервисный инженер/IT специалист,80000.0,Мурманск,2022-12-29T17:33:38+0300
Системный администратор в IT - компанию,,Саратов,2022-12-29T10:07:03+0300
Начальник IT-отдела,130000.0,Санкт-Петербург,2022-12-29T10:28:31+0300
Специалист по IT,50000.0,Краснодар,2022-12-29T17:49:01+0300
Специалист технической поддержки,55000.0,Москва,2022-12-29T12:33:04+0300
Директор по информационным технологиям,180000.0,Санкт-Петербург,2022-12-29T11:03:49+0300
Технический специалист (IT службы),40000.0,Самара,2022-12-29T11:59:50+0300
Системный администратор,35000.0,Ижевск,2022-12-29T16:42:10+0300
Администратор группы информационного взаимодействия с клиентами (аналитик в IT отдел),,Санкт-Петербург,2022-12-29T13:03:59+0300
IT Специалист,,Шадринск,2022-12-29T11:16:06+0300
Менеджер Региональной ИТ-поддержки,,Самара,2022-12-29T09:52:39+0300
Специалист технической поддержки,45000.0,Черкесск,2022-12-29T10:53:46+0300
Помощник системного администратора,43750.0,Хабаровск,2022-12-29T10:25:57+0300
Инженер технической поддержки / IT Helpdesk Engineer,80000.0,Москва,2022-12-29T11:19:06+0300
IT менеджер/Системный администратор,,Москва,2022-12-29T15:27:25+0300
"Специалист отдела сопровождения ПО департамента информационных технологий, Головной офис",,Минск,2022-12-29T16:05:16+0300
Системный администратор,100000.0,Москва,2022-12-29T11:15:45+0300
IT Manager,,Астана,2022-12-29T11:24:14+0300
Специалист технической поддержки,37500.0,Санкт-Петербург,2022-12-29T16:28:10+0300
"Администратор продуктов Atlassian (Jira, удалённо)",135000.0,Москва,2022-12-29T11:18:33+0300
IT директор,,Москва,2022-12-29T16:52:59+0300
Специалист службы поддержки пользователей,40000.0,Санкт-Петербург,2022-12-29T08:48:35+0300
Специалист отдела технической поддержки / Системный администратор,40000.0,Астрахань,2022-12-29T11:40:32+0300
Инженер технической поддержки,45000.0,Воронеж,2022-12-29T09:47:02+0300
Старший системный администратор,,Челябинск,2022-12-29T14:36:20+0300
Старший IT-специалист,,Алматы,2022-12-29T15:09:02+0300
Системный администратор,50000.0,Уфа,2022-12-29T14:22:35+0300
Системный администратор,105000.0,Москва,2022-12-29T11:10:31+0300
Компьютерный мастер / Ученик мастера по ремонту компьютеров и ноутбуков,110000.0,Москва,2022-12-29T11:01:05+0300
"CRM–менеджер по поддержке пользователей (amoCRM, МойСклад)",37500.0,Ростов-на-Дону,2022-12-29T13:31:24+0300
IT Project manager,,Санкт-Петербург,2022-12-29T17:58:44+0300
Системный администратор,,Пермь,2022-12-29T12:29:19+0300
Tech support / инженер технической поддержки,80000.0,Новосибирск,2022-12-29T13:04:21+0300
Специалист технической поддержки,100000.0,Москва,2022-12-29T12:49:48+0300
Project Manager,,Санкт-Петербург,2022-12-29T15:21:25+0300
Оператор технической поддержки,,Бишкек,2022-12-29T11:42:28+0300
Системный администратор,50000.0,Авдон,2022-12-29T14:22:35+0300
Руководитель IT-службы,,Москва,2022-12-29T15:23:11+0300
Системный аналитик / менеджер проекта IT,,Алматы,2022-12-29T13:59:59+0300
Специалист технической поддержки (удаленная работа),25000.0,Владивосток,2022-12-29T14:26:27+0300
Системный администратор,60000.0,Воронеж,2022-12-29T08:57:16+0300
Системный администратор,35000.0,Москва,2022-12-29T18:00:22+0300
Системный администратор,80000.0,Тюмень,2022-12-29T09:23:36+0300
Менеджер it проектов,,Москва,2022-12-29T14:08:53+0300
Системный аналитик,190000.0,Санкт-Петербург,2022-12-29T17:51:35+0300
Инженер технической поддержки (IT Helpdesk L2 Engineer),,Уральск,2022-12-29T15:01:13+0300
Системный администратор,50000.0,Хабаровск,2022-12-29T12:46:32+0300
Руководитель IT проектов,140000.0,Нижний Новгород,2022-12-29T11:44:03+0300
ИТ инженер,47500.0,Ростов-на-Дону,2022-12-29T13:36:34+0300
Специалист IT отдела,,Атырау,2022-12-29T09:55:52+0300
Системный администратор,60000.0,Москва,2022-12-29T11:57:14+0300
(Младший) Специалист поддержки бизнес приложений / IT Engineer / IT Front Office Support Specialist,,Москва,2022-12-29T12:32:37+0300
Tech support / инженер технической поддержки,80000.0,Москва,2022-12-29T13:04:21+0300
Инженер по ремонту IT-оборудования,80000.0,Абакан,2022-12-29T18:25:28+0300
Специалист по IT,25000.0,Ишимбай,2022-12-29T10:07:46+0300
Руководитель IT проектов,,Москва,2022-12-29T18:00:26+0300
Специалист технической поддержки (IT компания),40000.0,Нижний Новгород,2022-12-29T09:56:28+0300
Системный администратор,,Санкт-Петербург,2022-12-29T11:31:03+0300
Специалист технической поддержки,45000.0,Оренбург,2022-12-29T11:29:21+0300
Специалист техподдержки (IT отдел),40000.0,Вологда,2022-12-29T11:03:00+0300
Системный администратор,80000.0,Химки,2022-12-29T11:32:25+0300
IT-инженер,32500.0,Новороссийск,2022-12-29T11:17:34+0300
Системный инженер,,Москва,2022-12-29T15:11:43+0300
Сетевой Инженер,,Москва,2022-12-29T15:11:43+0300
Пресейл менеджер по инфраструктурным решениям,,Санкт-Петербург,2022-12-29T15:11:43+0300
Руководитель отдела IT,63000.0,Калининград,2022-12-29T12:23:21+0300
Бизнес аналитик (Системный) IT,165000.0,Москва,2022-12-29T16:22:30+0300
Cпециалист технической поддержки L0 (колл-центр),,Минск,2022-12-29T14:41:01+0300
Системный администратор,100000.0,Москва,2022-12-29T11:53:01+0300
Системный администратор,50000.0,Москва,2022-12-29T17:20:09+0300
Системный инженер,,Санкт-Петербург,2022-12-29T15:11:43+0300
Fullstack разработчик 1С-Битрикс,100000.0,Тольятти,2022-12-29T10:56:24+0300
Пресейл менеджер по инфраструктурным решениям,,Москва,2022-12-29T15:11:44+0300
Выездной инженер,45000.0,Москва,2022-12-29T15:56:23+0300
Системный администратор,,Самара,2022-12-29T15:11:07+0300
Системный администратор,,Москва,2022-12-29T16:53:00+0300
Системный администратор,40000.0,Краснодар,2022-12-29T18:33:22+0300
Менеджер по технической поддержке,30000.0,Вологда,2022-12-29T17:56:53+0300
Сетевой Инженер,,Санкт-Петербург,2022-12-29T15:11:43+0300
Системный администратор,80000.0,Зеленоград,2022-12-29T11:31:00+0300
Инженер технической поддержки,50000.0,Надым,2022-12-29T12:58:39+0300
Специалист по информационным технологиям,104000.0,Москва,2022-12-29T15:15:21+0300
Системный администратор,,Москва,2022-12-29T08:39:08+0300
Системный администратор,,Зеленоград,2022-12-29T16:16:19+0300
Системный администратор Linux,,Москва,2022-12-29T12:23:01+0300
Системный администратор,50000.0,Москва,2022-12-29T12:57:02+0300
Специалист поддержки CRM системы,32500.0,Новосибирск,2022-12-29T13:17:01+0300
Специалист по сопровождению ПО в Отдел обеспечения безопасности информационных систем,,Минск,2022-12-29T11:08:34+0300
Системный администратор,,Томск,2022-12-29T09:30:27+0300
DevOps инженер,190000.0,Санкт-Петербург,2022-12-29T18:07:52+0300
Технический pre-sale manager,,Санкт-Петербург,2022-12-29T15:21:33+0300
Аналитик,,Самара,2022-12-29T10:50:12+0300
Старший системный администратор (в иностранную компанию),,Москва,2022-12-29T13:19:37+0300
Специалист технической поддержки,40000.0,Краснодар,2022-12-29T16:48:03+0300
Системный администратор,,Санкт-Петербург,2022-12-29T08:37:10+0300
Старший системный администратор,,Москва,2022-12-29T10:58:42+0300
Системный администратор,150000.0,Москва,2022-12-29T10:20:03+0300
Специалист IT/Инженер,45000.0,Самара,2022-12-29T14:40:40+0300
Системный администратор,130000.0,Санкт-Петербург,2022-12-29T16:14:13+0300
IT manager,,Москва,2022-12-29T11:25:55+0300
IT project manager / руководитель проекта в ИТ,150000.0,Москва,2022-12-29T15:17:22+0300
Системный аналитик в IT,205000.0,Москва,2022-12-29T14:34:07+0300
Системный администратор Linux,70000.0,Санкт-Петербург,2022-12-29T15:42:24+0300
IT Бизнес-партнёр,,Санкт-Петербург,2022-12-29T12:54:42+0300
IT Директор / Директор по информационным технологиям,,Москва,2022-12-29T14:39:53+0300
Go разработчик / Golang инженер,195000.0,Москва,2022-12-29T12:13:19+0300
Бизнес-аналитик в IT/Системный Бизнес-аналитик,,Москва,2022-12-29T15:49:03+0300
Инженер ИТ поддержки,,Сочи,2022-12-29T12:23:51+0300
Руководитель ИТ-отдела,,Ташкент,2022-12-29T09:23:45+0300
Архитектор Линукс,,Санкт-Петербург,2022-12-29T15:11:44+0300
Архитектор UC,,Санкт-Петербург,2022-12-29T15:11:44+0300
Архитектор UC,,Москва,2022-12-29T15:11:44+0300
ИТ-менеджер (IT Business Analyst),,Караганда,2022-12-29T16:26:38+0300
ИТ-менеджер (IT Business Analyst),,Астана,2022-12-29T16:26:38+0300
